"","title","productPageLink","rating","numReviews","price","pricePerCount","hasSubscription","productDescription","firstPublished","ingredients","timePublished","salesRevenue","salesCount","rank","ingredientLength","descriptionLength"
"0","

Turmeric Curcumin with BioPerine 1500mg - Natural Joint & Healthy Inflammatory Support with 95% Standardized Curcuminoids for Potency & Absorption - Non-GMO, Gluten Free Capsules with Black Pepper

","https://www.amazon.com//Turmeric-Bioperine-Available-Standardized-Curcuminoids/dp/B01DBTFO98/ref=sr_1_5?action=sign-out&captcha_verified=1&claim_type=EmailAddress&dchild=1&keywords=supplements&new_account=1&path=%2Fgp%2Fyourstore%2Fhome&qid=1618685530&signIn=1&sr=8-5&useRedirectOnSuccess=1","4.6","57207","18.79","0.21","1","



About this item



High potency turmeric pills enhanced with bioperine: BioSchwartz turmeric formula has 1500mg of turmeric curcumin with 95% standardized curcuminoids per serving (high potency) and 10mg of bioperine (black pepper, curcumin with black pepper) aiding in enhanced absorption and bio-availability



All natural, non-GMO, no fillers, binders or preservatives: Bioschwartz professional grade turmeric with bioperine (curcumin with bioperine) is a natural turmeric powder; turmeric powder has higher absorption compared to common turmeric teas, and this curcumin is also free of soy, gluten, milk, egg, wheat, GMOs, peanuts, sweeteners, shellfish and sugar



Professionally formulated & made in the USA: Bioschwartz turmeric extract is formulated by professionals and manufactured in the USA following strict GMP guidelines; this turmeric with bioperine is 3rd-party tested to ensure the quality and purity of each batch



Naturally potent ingredients: this turmeric curcumin supplement’s potency is enhanced with patented bioperine (10mg per serving), a type of black pepper extract shown to increase absorption and bioavailability in turmeric supplements



Bioschwartz professional quality standards: every single batch of Bioschwartz turmeric curcumin with bioperine is 3rd-party tested for purity and potency and each bottle is manufactured in the USA using imported and domestic ingredients; this turmeric supplement is formulated for women and men who want to enjoy the benefits of turmeric curcumin supplements





","March 23, 2016","['turmeric', 'curcumin', '1500mg', '3', 'capsules', 'per', 'serving', '-', 'curcuma', 'longa', 'root', '1350mg', 'extract', '95%', 'standardized', 'curcuminoids', '150mg', 'bioperine', 'black', 'pepper', '10mg', 'other', 'ingredients:', 'vegetable', 'capsule']","1851","3484.3420745543","618.11993517018","4","25","217"
"1","

Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement by Natures Nutrition - 120 Capsules

","https://www.amazon.com//Curcuminoids-Absorption-Anti-Inflammatory-Natures-Nutrition/dp/B06X9T1Y3F/ref=sr_1_6?action=sign-out&captcha_verified=1&claim_type=EmailAddress&dchild=1&keywords=supplements&new_account=1&path=%2Fgp%2Fyourstore%2Fhome&qid=1618685530&signIn=1&sr=8-6&useRedirectOnSuccess=1","4.6","43045","14.82","0.12","1","



About this item



Turmeric Curcumin with Bioperine: Our premium T3 Turmeric Curcumin Complex 1950mg, with standardized 95% Curcuminoids and 15mg Bioperine (Black Pepper) for best absorption



Effective Ingredients: Turmeric is arguably one of the most powerful herbs on the planet; Curcumin specifically, is one of the primary compounds in turmeric powder, has been reported to be one of the most advantageous herbs, making Turmeric Curcumin a nutrient rich powerhouse



With Bioperine for Best Absorption: BioPerine, a patented black pepper extract has been shown to improve the absorption of many herbs and spices; Our Turmeric Curcumin Extract with BioPerine black pepper supplement provides as much as 2000x better absorption than consuming normal turmeric capsules alone



Trusted Formula: Our Turmeric is formulated and manufactured in the USA following strict cGMP guidelines; Our Turmeric with BioPerine is third party tested to assure the quality and purity of each batch



Nature's Nutrition Turmeric Curcumin with Bioperine Black Pepper best bio bioperine bioprene black 1000mg capsule capsules circumin complex cucermin cucumin cucuramin cucurmin curcuma curcumin curcummin curcurim curcurmin extract factor ginger golden health joint loss made mg natural nature nature's natures nutrition pepper piperine plus products root supplement supplements tumeric tumetic tummeric tumric turmeric turmic turneric weight





","June 28, 2017","['turmeric', 'curcumin', 'curcuma', 'longaroot', '95%', 'curcuminoids', 'bioperine', 'black', 'pepper', 'extract', 'cellulose', 'vegetable', 'capsule', 'microcrystalline', 'silicon', 'dioxide']","1389","2755.6237580994","619.79841612671","5","16","205"
"2","

UMZU: Redwood, Nitric Oxide Booster Capsules - 30 Day Supply - N.O. Supplement for Circulatory Support

","https://www.amazon.com//UMZU-Capsules-N-Supplement-Circulatory/dp/B083FF74NQ/ref=sr_1_7?action=sign-out&captcha_verified=1&claim_type=EmailAddress&dchild=1&keywords=supplements&new_account=1&path=%2Fgp%2Fyourstore%2Fhome&qid=1618685530&signIn=1&sr=8-7&useRedirectOnSuccess=1","4.3","4755","49.95","0","1","



About this item



NATURAL: Redwood works with your body's natural chemistry to increase nitric oxide production.



RESEARCH-BACKED INGREDIENTS: Redwood contains vitamin c, odorless garlic powder, horse chestnut extract, VasoDrive-AP (casein hyrolystate), pine bark extract, and l-leucine.,



EFFECTIVENESS: The efficacy of every Redwood ingredient has been studied and tested in humans to ensure proper dosage is achieved.



ACTIVE: Redwood Nitric Oxide Booster enhances the active lifestyle



OUR PROMISE TO YOU: Umzu dietary supplements are manufactured in the U.S. inside cGMP facilities and only contain clinical doses of the highest quality ingredients, without any unnecessary fillers.





","January 2, 2020","['vitamin', 'c', 'as', 'ascorbic', 'acid', 'garlic', 'allium', 'sativum', 'root', 'odorless', 'powder', 'horse', 'chestnut', 'aesculus', 'hippocastanum', 'seed', 'extract', 'casein', 'hydrolysate', 'lactotripeptide', 'vpd', 'ipp', 'from', 'nz', 'grass-fed', 'cow’s', 'milk', 'pine', 'pinus', 'pinaster', 'bark', 'l-leucine', 'rice', 'gelatin', 'capsule']","471","3025.6337579618","201.91082802548","6","35","97"
"3","

Genius Mushroom – Lions Mane, Cordyceps and Reishi – Immune System Booster & Nootropic Brain Supplement – Wellness Formula for Natural Energy, Stress Relief, Memory & Liver Support, 90 Veggie Pills

","https://www.amazon.com//Genius-Mushroom-Cordyceps-Nootropic-Supplement/dp/B078SJ9F5S/ref=sxin_10?action=sign-out&asc_contentid=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&asc_contenttype=article&ascsubtag=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&captcha_verified=1&claim_type=EmailAddress&creativeASIN=B078SJ9F5S&cv_ct_cx=supplements&cv_ct_id=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=supplements&linkCode=oas&new_account=1&path=%2Fgp%2Fyourstore%2Fhome&pd_rd_i=B078SJ9F5S&pd_rd_r=9442df55-c3d2-415a-b04f-f6c89e23dacc&pd_rd_w=2aaHE&pd_rd_wg=invab&pf_rd_p=97edcd33-ae52-416a-820f-978f86b3258a&pf_rd_r=WZSCXE2W7SPSMAM3GKM6&qid=1618685530&signIn=1&sr=1-1-64f3a41a-73ca-403a-923c-8152c45485fe&tag=geekcontent-20&useRedirectOnSuccess=1","4.5","19559","21.95","0.24","1","



About this item



NURTURE YOUR MIND, BODY & SPIRIT – By combining 3 of the most researched mycological species on the planet, Genius Mushrooms deliver an organic wellness formula unlike any other: Enhance mental clarity, immune function, natural energy and more



IMMUNE SYSTEM BOOSTER – Elevate immune support to another level with reishi mushroom extract: Having been used for centuries, this immune booster is what you need daily to stay healthy and avoid the common cold



MEMORY, FOCUS & COGNITIVE PERFORMANCE – Lions Mane provides a safe alternative to highly questionable nootropics and smart drug hitting the market nowadays: This species is a proven brain booster, great for work & studying



CAFFEINE FREE ENERGY SUPPLEMENT – Elevate your energy levels naturally via ATP production with Cordyceps Sinensis: Increase oxygen utilization, aerobic capacity and athletic endurance without stimulants



STRESS RELIEF, LIVER SUPPORT & DETOX – Reishi has also been shown to improve mood and to potentially act as a detoxifying liver cleanse: There isn’t another wellness formula on the market that delivers like this (Packaging may slightly vary).





","January 3, 2018","['organic', 'cordeyceps', 'militaris', 'and', 'sinensis', '[mycelium]', 'reishi', 'ganoderma', 'lucidum', '[fruit', 'body]', ""lion's"", 'mane', 'hericium', 'erinaceus']","1200","2146.60025","325.98333333333","7","15","180"
"4","

Genius Mushroom – Lions Mane, Cordyceps and Reishi – Immune System Booster & Nootropic Brain Supplement – Wellness Formula for Natural Energy, Stress Relief, Memory & Liver Support, 90 Veggie Pills

","https://www.amazon.com//Genius-Mushroom-Cordyceps-Nootropic-Supplement/dp/B078SJ9F5S/ref=sxin_10?action=sign-out&asc_contentid=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&asc_contenttype=article&ascsubtag=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&captcha_verified=1&claim_type=EmailAddress&creativeASIN=B078SJ9F5S&cv_ct_cx=supplements&cv_ct_id=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=supplements&linkCode=oas&new_account=1&path=%2Fgp%2Fyourstore%2Fhome&pd_rd_i=B078SJ9F5S&pd_rd_r=9442df55-c3d2-415a-b04f-f6c89e23dacc&pd_rd_w=2aaHE&pd_rd_wg=invab&pf_rd_p=97edcd33-ae52-416a-820f-978f86b3258a&pf_rd_r=WZSCXE2W7SPSMAM3GKM6&qid=1618685530&signIn=1&sr=1-1-64f3a41a-73ca-403a-923c-8152c45485fe&tag=geekcontent-20&useRedirectOnSuccess=1","4.5","19559","21.95","0.24","1","



About this item



NURTURE YOUR MIND, BODY & SPIRIT – By combining 3 of the most researched mycological species on the planet, Genius Mushrooms deliver an organic wellness formula unlike any other: Enhance mental clarity, immune function, natural energy and more



IMMUNE SYSTEM BOOSTER – Elevate immune support to another level with reishi mushroom extract: Having been used for centuries, this immune booster is what you need daily to stay healthy and avoid the common cold



MEMORY, FOCUS & COGNITIVE PERFORMANCE – Lions Mane provides a safe alternative to highly questionable nootropics and smart drug hitting the market nowadays: This species is a proven brain booster, great for work & studying



CAFFEINE FREE ENERGY SUPPLEMENT – Elevate your energy levels naturally via ATP production with Cordyceps Sinensis: Increase oxygen utilization, aerobic capacity and athletic endurance without stimulants



STRESS RELIEF, LIVER SUPPORT & DETOX – Reishi has also been shown to improve mood and to potentially act as a detoxifying liver cleanse: There isn’t another wellness formula on the market that delivers like this (Packaging may slightly vary).





","January 3, 2018","['organic', 'cordeyceps', 'militaris', 'and', 'sinensis', '[mycelium]', 'reishi', 'ganoderma', 'lucidum', '[fruit', 'body]', ""lion's"", 'mane', 'hericium', 'erinaceus']","1200","2146.60025","325.98333333333","8","15","180"
"5","

Dr. Emil Nutrition Organic Lions Mane Mushroom Capsule with Absorption Enhancers, Powerful Nootropic Brain Supplement and Immune Support with 100% Organic Lions Mane Extract, 30 Day Supply

","https://www.amazon.com//Organic-Lions-Mane-Mushroom-Capsules/dp/B07Q5DZJTK/ref=sxin_10?action=sign-out&asc_contentid=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&asc_contenttype=article&ascsubtag=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&captcha_verified=1&claim_type=EmailAddress&creativeASIN=B07Q5DZJTK&cv_ct_cx=supplements&cv_ct_id=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=supplements&linkCode=oas&new_account=1&path=%2Fgp%2Fyourstore%2Fhome&pd_rd_i=B07Q5DZJTK&pd_rd_r=9442df55-c3d2-415a-b04f-f6c89e23dacc&pd_rd_w=2aaHE&pd_rd_wg=invab&pf_rd_p=97edcd33-ae52-416a-820f-978f86b3258a&pf_rd_r=WZSCXE2W7SPSMAM3GKM6&qid=1618685530&signIn=1&sr=1-2-64f3a41a-73ca-403a-923c-8152c45485fe&tag=geekcontent-20&useRedirectOnSuccess=1","4.4","13582","22.5","0.25","1","



About this item



Highest dosage + absorption enhancer - Our 2100 mg serving is the highest available and is enhanced with BioPerine, a patented Black Pepper extract clinically proven to aid absorption. Our max dosage along with better absorption provides vastly more bioavailable Lion’s Mane than other brands.



Top quality organic lion’s mane - Our capsules are comprised of 100% pure Lion’s Mane extract powder from hand-picked, USA-grown mushrooms. The powder is extracted using a state-of-the-art hot water method to ensure maximum possible nutrient retention. Our Lions Mane mushroom supplement is Non-GMO and gluten free, without the use of harmful additives or fillers.



Cognition, immune system booster & more - Studies have shown Lion’s Mane to be one of nature’s most powerful nootropics, aiding memory, focus, clarity and overall cognitive performance. In addition, Lion’s Mane has also been indicated to provide immune support, reduce inflammation and provide potent antioxidant benefits.



Doctor-driven, science backed - Bringing Dr. Emil’s unique knowledge as both a medical doctor & recognized authority in the supplementation field, our blends are painstakingly formulated to provide superior results and are always backed by science - free of gimmicks, fads & false promises.



Through our partnership with Vitamin Angels, for every bottle of Dr. Emil Nutrition product you buy, a child in need gets a 6-month dose of essential vitamins.





","March 28, 2019","['organic', ""lion's"", 'mane', 'mushroom', 'powder', 'bioperine', 'black', 'pepper', 'extract']","751","2441.5046604527","361.70439414114","9","9","224"
"6","

Host Defense, Lion's Mane Capsules, Promotes Mental Clarity, Focus and Memory, Daily Mushroom Supplement, Vegan, Organic, 60 Capsules (30 Servings)

","https://www.amazon.com//Host-Defense-Mushroom-Capsules-Cerebral/dp/B002WJ2ALO/ref=sxin_10?action=sign-out&asc_contentid=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&asc_contenttype=article&ascsubtag=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&captcha_verified=1&claim_type=EmailAddress&creativeASIN=B002WJ2ALO&cv_ct_cx=supplements&cv_ct_id=amzn1.osa.8fd35935-78d0-4ca1-9959-1b6e3e84eb77.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=supplements&linkCode=oas&new_account=1&path=%2Fgp%2Fyourstore%2Fhome&pd_rd_i=B002WJ2ALO&pd_rd_r=9442df55-c3d2-415a-b04f-f6c89e23dacc&pd_rd_w=2aaHE&pd_rd_wg=invab&pf_rd_p=97edcd33-ae52-416a-820f-978f86b3258a&pf_rd_r=WZSCXE2W7SPSMAM3GKM6&qid=1618685530&signIn=1&sr=1-3-64f3a41a-73ca-403a-923c-8152c45485fe&tag=geekcontent-20&useRedirectOnSuccess=1","4.7","5900","23.96","0.4","1","



About this item



GIVE YOUR BRAIN A BOOST: Clear the mental fog and give your memory and immune health a boost with Lion's Mane mushroom mycelium



SUPPORTS COGNITIVE FUNCTION: Provides cerebral and nervous system support; Optimizes immune system health; Numerous studies have identified a Nerve Growth Factor in Lion's Mane



TAKE 2 CAPSULES DAILY: Can be taken with food or without, and even on an empty stomach



CONVENIENT, ONE-A-DAY: Simple and convenient, our vegetarian capsules are an excellent daily source of mushroom mycelium



SAFE, SMART MUSHROOMS: Sustainably cultivated, certified organic and U.S. grown mushrooms from the forest, to our farm, to you





","October 2, 2001","[""lion's"", 'mane', 'hericium', 'erinaceus', 'mycelium', 'freeze', 'dried', 'myceliated', 'brown', 'rice', 'pullulan', 'an', 'extra-cellular', 'polysaccharide']","7137","118.84321143338","16.533557517164","10","14","105"
"7","

Zhou Nitric Oxide with L Arginine, Citrulline Malate, AAKG and Beet Root | Powerful N.O. Booster and Muscle Builder for Strength, Blood Flow and Endurance | 30 Servings, 120 Veggie Caps

","https://www.amazon.com//Nitric-Supplement-Arginine-Citrulline-Malate/dp/B072LB6YLD/ref=sxin_11_ac_d_rm?ac_md=1-1-dGVzdG9zdGVyb25lIGJvb3N0ZXIgZm9yIG1lbg%3D%3D-ac_d_rm&action=sign-out&captcha_verified=1&claim_type=EmailAddress&cv_ct_cx=supplements&dchild=1&keywords=supplements&new_account=1&path=%2Fgp%2Fyourstore%2Fhome&pd_rd_i=B072LB6YLD&pd_rd_r=9442df55-c3d2-415a-b04f-f6c89e23dacc&pd_rd_w=7n0uE&pd_rd_wg=invab&pf_rd_p=b0625ac1-ea22-4a1c-8206-57129b08e075&pf_rd_r=WZSCXE2W7SPSMAM3GKM6&psc=1&qid=1618685530&signIn=1&sr=1-1-12d4272d-8adb-4121-8624-135149aa9081&useRedirectOnSuccess=1","4.2","2558","25.99","0.22","1","



About this item



Nitric Oxide Powerhouse. N.O. Pro was scientifically formulated to help you maximize energy, strength, and stamina during every workout so you never waste a set. Feel the oxygen and nutrient-rich blood flood your muscle fibers and support you from within.



Pump Like A Pro. Whether you're a strength and power athlete or just looking to achieve your personal goals, N.O. Pro can be the secret weapon that takes your workouts to a new level. Keep these convenient, no-mess capsules right in your gym bag.



How It Works. L-arginine, AAKG, citrulline malate, and beet root work to funnel clean oxygen and nutrient-rich blood straight into your muscle cells. This pre-workout fuel kickstarts the anabolic process, and means greater endurance and stronger pumps.



Heart Healthy. During exercise, nitric oxide is released into the blood vessels, causing them to expand and improve blood flow throughout the body. N.O. Pro accelerates the production of nitric oxide and increases blood flow, supporting a healthy heart.



What Sets Us Apart? At Zhou, we use only the highest-quality ingredients in a facility following GMP (good manufacturing practices). Plus, we test everything at our lab in Utah, so you can be confident that you're fueling your body with the very best.



During the summer months products may arrive warm but Amazon stores and ships products in accordance with manufacturers' recommendations, when provided.





","May 6, 2017","['l-arginine', 'hci', '1200', 'mg', '**', 'arginine', 'alpha-ketoglutarateaakg', 'citrulline', 'malate', '2:1', '610', 'beet', 'root', 'beta', 'vulgaris', '160']","1442","276.62588072122","35.478502080444","12","16","230"
"8","

Zhou Nitric Oxide with L Arginine, Citrulline Malate, AAKG and Beet Root | Powerful N.O. Booster and Muscle Builder for Strength, Blood Flow and Endurance | 30 Servings, 120 Veggie Caps

","https://www.amazon.com//Nitric-Supplement-Arginine-Citrulline-Malate/dp/B072LB6YLD/ref=sxin_11_ac_d_rm?ac_md=1-1-dGVzdG9zdGVyb25lIGJvb3N0ZXIgZm9yIG1lbg%3D%3D-ac_d_rm&action=sign-out&captcha_verified=1&claim_type=EmailAddress&cv_ct_cx=supplements&dchild=1&keywords=supplements&new_account=1&path=%2Fgp%2Fyourstore%2Fhome&pd_rd_i=B072LB6YLD&pd_rd_r=9442df55-c3d2-415a-b04f-f6c89e23dacc&pd_rd_w=7n0uE&pd_rd_wg=invab&pf_rd_p=b0625ac1-ea22-4a1c-8206-57129b08e075&pf_rd_r=WZSCXE2W7SPSMAM3GKM6&psc=1&qid=1618685530&signIn=1&sr=1-1-12d4272d-8adb-4121-8624-135149aa9081&useRedirectOnSuccess=1","4.2","2558","25.99","0.22","1","



About this item



Nitric Oxide Powerhouse. N.O. Pro was scientifically formulated to help you maximize energy, strength, and stamina during every workout so you never waste a set. Feel the oxygen and nutrient-rich blood flood your muscle fibers and support you from within.



Pump Like A Pro. Whether you're a strength and power athlete or just looking to achieve your personal goals, N.O. Pro can be the secret weapon that takes your workouts to a new level. Keep these convenient, no-mess capsules right in your gym bag.



How It Works. L-arginine, AAKG, citrulline malate, and beet root work to funnel clean oxygen and nutrient-rich blood straight into your muscle cells. This pre-workout fuel kickstarts the anabolic process, and means greater endurance and stronger pumps.



Heart Healthy. During exercise, nitric oxide is released into the blood vessels, causing them to expand and improve blood flow throughout the body. N.O. Pro accelerates the production of nitric oxide and increases blood flow, supporting a healthy heart.



What Sets Us Apart? At Zhou, we use only the highest-quality ingredients in a facility following GMP (good manufacturing practices). Plus, we test everything at our lab in Utah, so you can be confident that you're fueling your body with the very best.



During the summer months products may arrive warm but Amazon stores and ships products in accordance with manufacturers' recommendations, when provided.





","May 6, 2017","['l-arginine', 'hci', '1200', 'mg', '**', 'arginine', 'alpha-ketoglutarateaakg', 'citrulline', 'malate', '2:1', '610', 'beet', 'root', 'beta', 'vulgaris', '160']","1442","276.62588072122","35.478502080444","13","16","230"
"9","

Turmeric Curcumin with BioPerine 1500mg - Natural Joint & Healthy Inflammatory Support with 95% Standardized Curcuminoids for Potency & Absorption - Non-GMO, Gluten Free Capsules with Black Pepper

","https://www.amazon.com//Turmeric-Bioperine-Available-Standardized-Curcuminoids/dp/B01DBTFO98/ref=sxin_11_ac_d_rm?ac_md=2-2-dHVybWVyaWMgY3VyY3VtaW4%3D-ac_d_rm&action=sign-out&captcha_verified=1&claim_type=EmailAddress&cv_ct_cx=supplements&dchild=1&keywords=supplements&new_account=1&path=%2Fgp%2Fyourstore%2Fhome&pd_rd_i=B01DBTFO98&pd_rd_r=9442df55-c3d2-415a-b04f-f6c89e23dacc&pd_rd_w=7n0uE&pd_rd_wg=invab&pf_rd_p=b0625ac1-ea22-4a1c-8206-57129b08e075&pf_rd_r=WZSCXE2W7SPSMAM3GKM6&psc=1&qid=1618685530&signIn=1&sr=1-2-12d4272d-8adb-4121-8624-135149aa9081&useRedirectOnSuccess=1","4.6","57207","18.79","0.21","1","



About this item



High potency turmeric pills enhanced with bioperine: BioSchwartz turmeric formula has 1500mg of turmeric curcumin with 95% standardized curcuminoids per serving (high potency) and 10mg of bioperine (black pepper, curcumin with black pepper) aiding in enhanced absorption and bio-availability



All natural, non-GMO, no fillers, binders or preservatives: Bioschwartz professional grade turmeric with bioperine (curcumin with bioperine) is a natural turmeric powder; turmeric powder has higher absorption compared to common turmeric teas, and this curcumin is also free of soy, gluten, milk, egg, wheat, GMOs, peanuts, sweeteners, shellfish and sugar



Professionally formulated & made in the USA: Bioschwartz turmeric extract is formulated by professionals and manufactured in the USA following strict GMP guidelines; this turmeric with bioperine is 3rd-party tested to ensure the quality and purity of each batch



Naturally potent ingredients: this turmeric curcumin supplement’s potency is enhanced with patented bioperine (10mg per serving), a type of black pepper extract shown to increase absorption and bioavailability in turmeric supplements



Bioschwartz professional quality standards: every single batch of Bioschwartz turmeric curcumin with bioperine is 3rd-party tested for purity and potency and each bottle is manufactured in the USA using imported and domestic ingredients; this turmeric supplement is formulated for women and men who want to enjoy the benefits of turmeric curcumin supplements





","March 23, 2016","['turmeric', 'curcumin', '1500mg', '3', 'capsules', 'per', 'serving', '-', 'curcuma', 'longa', 'root', '1350mg', 'extract', '95%', 'standardized', 'curcuminoids', '150mg', 'bioperine', 'black', 'pepper', '10mg', 'other', 'ingredients:', 'vegetable', 'capsule']","1851","3484.3420745543","618.11993517018","14","25","217"
